loan_id,borrower_id,state,occupation,loan_amount,interest_rate_pct,tenure_months,disbursement_date,repayment_frequency,loan_purpose,loan_officer_id,emi_amount,days_past_due,loan_status,credit_score
LN-0001,BRW-0001,Karnataka,Street Vendor,15000,19.96,9,2021-07-29,Monthly,Education,LO-018,1808.33,0,Closed,797
LN-0002,BRW-0002,Maharashtra,Street Vendor,7500,19.75,24,2021-02-24,Monthly,Asset Purchase,LO-018,380.8,0,Closed,798
LN-0003,BRW-0003,Bihar,Street Vendor,10000,23.59,12,2022-07-24,Weekly,Asset Purchase,LO-011,943.61,0,Closed,794
LN-0004,BRW-0004,Karnataka,Domestic Worker,20000,22.83,6,2023-07-30,Monthly,Working Capital,LO-013,3558.78,0,Active,788
LN-0005,BRW-0005,Rajasthan,Fisherman,12500,23.64,6,2022-04-12,Bi-Weekly,Working Capital,LO-008,2229.31,55,Active,721
LN-0006,BRW-0006,Madhya Pradesh,Vegetable Seller,20000,19.3,12,2022-03-06,Monthly,Agricultural Input,LO-003,1846.0,6,Active,796
LN-0007,BRW-0007,Uttar Pradesh,Tailor,30000,21.04,24,2022-03-26,Monthly,Agricultural Input,LO-002,1542.16,0,Closed,772
LN-0008,BRW-0008,Rajasthan,Cattle Farmer,15000,18.53,24,2022-10-07,Weekly,Education,LO-016,752.71,0,Closed,828
LN-0009,BRW-0009,Madhya Pradesh,Tailor,15000,19.12,24,2022-06-23,Monthly,Medical Emergency,LO-014,757.0,56,Active,725
LN-0010,BRW-0010,Uttar Pradesh,Tailor,30000,18.73,6,2021-08-13,Weekly,Education,LO-006,5276.67,14,Active,791
LN-0011,BRW-0011,Karnataka,Cattle Farmer,25000,22.77,18,2023-12-20,Bi-Weekly,Medical Emergency,LO-001,1652.56,4,Active,808
LN-0012,BRW-0012,Bihar,Vegetable Seller,20000,18.89,18,2021-11-20,Bi-Weekly,Working Capital,LO-009,1284.62,182,NPA,583
LN-0013,BRW-0013,Karnataka,Vegetable Seller,15000,24.73,24,2022-02-12,Weekly,Agricultural Input,LO-006,798.54,0,Closed,819
LN-0014,BRW-0014,Maharashtra,Fisherman,20000,21.91,6,2023-01-14,Bi-Weekly,Asset Purchase,LO-002,3549.56,0,Active,806
LN-0015,BRW-0015,Karnataka,Farmer,30000,24.53,24,2021-09-15,Weekly,Education,LO-016,1594.08,175,NPA,576
LN-0016,BRW-0016,West Bengal,Kirana Shop Owner,12500,23.7,18,2023-02-04,Bi-Weekly,Medical Emergency,LO-015,831.94,0,Active,784
LN-0017,BRW-0017,Karnataka,Domestic Worker,5000,22.71,9,2022-03-28,Weekly,Working Capital,LO-002,609.44,0,Closed,827
LN-0018,BRW-0018,Maharashtra,Domestic Worker,7500,22.11,12,2023-09-22,Weekly,Medical Emergency,LO-005,702.35,29,Active,771
LN-0019,BRW-0019,Madhya Pradesh,Kirana Shop Owner,30000,24.46,9,2021-07-13,Weekly,Education,LO-014,3682.19,0,Closed,796
LN-0020,BRW-0020,Madhya Pradesh,Tea Stall Owner,5000,23.39,6,2021-05-05,Bi-Weekly,Education,LO-011,891.1,37,Active,740
LN-0021,BRW-0021,Uttar Pradesh,Kirana Shop Owner,30000,19.12,9,2022-07-25,Bi-Weekly,Asset Purchase,LO-003,3604.48,0,Closed,825
LN-0022,BRW-0022,Karnataka,Street Vendor,5000,25.75,9,2021-12-07,Bi-Weekly,Home Improvement,LO-016,616.85,0,Closed,795
LN-0023,BRW-0023,Maharashtra,Tailor,25000,18.02,18,2022-06-28,Bi-Weekly,Agricultural Input,LO-014,1595.38,24,Active,791
LN-0024,BRW-0024,Madhya Pradesh,Tailor,12500,20.37,6,2021-05-05,Monthly,Agricultural Input,LO-002,2208.85,0,Closed,800
LN-0025,BRW-0025,Tamil Nadu,Street Vendor,7500,24.81,6,2021-05-20,Monthly,Asset Purchase,LO-013,1342.0,0,Closed,826
LN-0026,BRW-0026,Uttar Pradesh,Fisherman,5000,22.96,18,2023-12-07,Bi-Weekly,Agricultural Input,LO-007,330.97,11,Active,771
LN-0027,BRW-0027,Bihar,Cattle Farmer,10000,23.37,12,2023-07-26,Bi-Weekly,Working Capital,LO-001,942.55,0,Active,806
LN-0028,BRW-0028,Karnataka,Farmer,12500,22.05,9,2022-12-16,Weekly,Asset Purchase,LO-012,1519.59,0,Closed,798
LN-0029,BRW-0029,Bihar,Fisherman,5000,23.34,24,2022-09-06,Monthly,Working Capital,LO-005,262.71,0,Closed,826
LN-0030,BRW-0030,Karnataka,Tea Stall Owner,10000,20.18,24,2022-03-08,Monthly,Agricultural Input,LO-007,509.84,28,Active,752
LN-0031,BRW-0031,Madhya Pradesh,Auto Rickshaw Driver,5000,18.74,18,2022-07-21,Weekly,Working Capital,LO-011,320.8,21,Active,760
LN-0032,BRW-0032,Tamil Nadu,Tea Stall Owner,30000,22.41,18,2021-01-20,Weekly,Working Capital,LO-005,1977.83,0,Closed,823
LN-0033,BRW-0033,Rajasthan,Fisherman,10000,21.44,6,2022-09-24,Bi-Weekly,Working Capital,LO-012,1772.43,0,Closed,785
LN-0034,BRW-0034,Karnataka,Domestic Worker,25000,25.79,9,2022-04-30,Weekly,Asset Purchase,LO-014,3084.73,0,Closed,817
LN-0035,BRW-0035,Rajasthan,Cattle Farmer,12500,20.13,6,2023-02-23,Weekly,Home Improvement,LO-008,2207.35,0,Active,828
LN-0036,BRW-0036,Madhya Pradesh,Domestic Worker,15000,24.56,9,2022-04-02,Weekly,Education,LO-007,1841.83,0,Closed,787
LN-0037,BRW-0037,Karnataka,Auto Rickshaw Driver,20000,23.13,18,2022-11-10,Weekly,Working Capital,LO-009,1325.55,0,Closed,786
LN-0038,BRW-0038,Maharashtra,Farmer,25000,20.77,12,2023-06-13,Monthly,Medical Emergency,LO-004,2325.09,0,Active,806
LN-0039,BRW-0039,Uttar Pradesh,Auto Rickshaw Driver,5000,23.67,6,2023-12-01,Monthly,Education,LO-007,891.8,0,Active,774
LN-0040,BRW-0040,Rajasthan,Fisherman,20000,23.31,6,2022-09-08,Monthly,Agricultural Input,LO-014,3563.59,0,Closed,814
LN-0041,BRW-0041,Bihar,Carpenter,10000,19.53,18,2021-12-23,Monthly,Medical Emergency,LO-010,645.37,0,Closed,823
LN-0042,BRW-0042,Maharashtra,Auto Rickshaw Driver,15000,19.68,24,2022-10-22,Bi-Weekly,Home Improvement,LO-015,761.09,17,Active,779
LN-0043,BRW-0043,Tamil Nadu,Vegetable Seller,7500,20.27,24,2022-11-18,Weekly,Asset Purchase,LO-010,382.71,0,Closed,782
LN-0044,BRW-0044,Tamil Nadu,Street Vendor,5000,19.96,18,2021-05-30,Bi-Weekly,Home Improvement,LO-019,323.72,0,Closed,814
LN-0045,BRW-0045,West Bengal,Weaver,25000,19.95,6,2021-08-07,Bi-Weekly,Asset Purchase,LO-006,4412.45,75,Active,713
LN-0046,BRW-0046,Madhya Pradesh,Street Vendor,12500,25.34,6,2023-07-24,Weekly,Home Improvement,LO-017,2239.99,253,NPA,526
LN-0047,BRW-0047,Madhya Pradesh,Fisherman,25000,24.64,24,2023-07-03,Weekly,Education,LO-016,1329.78,0,Active,818
LN-0048,BRW-0048,Uttar Pradesh,Vegetable Seller,15000,24.13,24,2023-09-20,Monthly,Asset Purchase,LO-009,794.04,0,Active,815
LN-0049,BRW-0049,Bihar,Kirana Shop Owner,15000,20.69,24,2021-06-15,Weekly,Asset Purchase,LO-008,768.5,0,Closed,779
LN-0050,BRW-0050,Uttar Pradesh,Farmer,25000,21.26,24,2023-08-13,Bi-Weekly,Working Capital,LO-007,1287.84,55,Active,761
LN-0051,BRW-0051,Maharashtra,Fisherman,25000,21.82,12,2022-09-04,Bi-Weekly,Home Improvement,LO-018,2337.69,18,Active,799
LN-0052,BRW-0052,Uttar Pradesh,Weaver,12500,20.18,18,2021-03-01,Bi-Weekly,Agricultural Input,LO-013,810.62,27,Active,766
LN-0053,BRW-0053,Tamil Nadu,Fisherman,5000,25.26,24,2021-02-25,Weekly,Education,LO-014,267.51,0,Closed,799
LN-0054,BRW-0054,Tamil Nadu,Street Vendor,15000,21.03,9,2023-07-21,Bi-Weekly,Agricultural Input,LO-013,1816.09,0,Active,830
LN-0055,BRW-0055,West Bengal,Auto Rickshaw Driver,7500,21.76,24,2021-04-17,Bi-Weekly,Asset Purchase,LO-003,388.2,21,Active,746
LN-0056,BRW-0056,Maharashtra,Kirana Shop Owner,12500,24.71,24,2021-11-09,Weekly,Asset Purchase,LO-016,665.33,19,Active,807
LN-0057,BRW-0057,Uttar Pradesh,Weaver,15000,24.14,9,2021-08-23,Weekly,Agricultural Input,LO-004,1838.75,0,Closed,829
LN-0058,BRW-0058,Bihar,Fisherman,25000,21.17,9,2021-06-05,Monthly,Education,LO-008,3028.51,0,Closed,819
LN-0059,BRW-0059,Bihar,Vegetable Seller,7500,24.37,24,2021-03-26,Bi-Weekly,Medical Emergency,LO-014,397.92,3,Active,798
LN-0060,BRW-0060,Rajasthan,Street Vendor,25000,24.58,6,2023-06-07,Bi-Weekly,Education,LO-015,4470.43,14,Active,764
LN-0061,BRW-0061,Bihar,Fisherman,30000,21.72,24,2022-07-04,Bi-Weekly,Asset Purchase,LO-003,1552.2,0,Closed,798
LN-0062,BRW-0062,Uttar Pradesh,Weaver,25000,20.69,18,2022-10-28,Weekly,Home Improvement,LO-007,1627.38,0,Closed,786
LN-0063,BRW-0063,Rajasthan,Auto Rickshaw Driver,15000,22.45,24,2022-01-27,Weekly,Asset Purchase,LO-014,781.51,0,Closed,818
LN-0064,BRW-0064,Uttar Pradesh,Tea Stall Owner,30000,23.17,18,2023-07-07,Weekly,Working Capital,LO-010,1988.91,0,Active,814
LN-0065,BRW-0065,Uttar Pradesh,Auto Rickshaw Driver,20000,21.79,24,2022-12-06,Bi-Weekly,Education,LO-018,1035.49,0,Closed,814
LN-0066,BRW-0066,Madhya Pradesh,Auto Rickshaw Driver,15000,20.01,6,2022-01-30,Bi-Weekly,Working Capital,LO-018,2647.92,185,NPA,560
LN-0067,BRW-0067,Uttar Pradesh,Tea Stall Owner,30000,20.21,24,2023-12-11,Monthly,Agricultural Input,LO-004,1529.95,49,Active,725
